time,target,y,error,steer
17.728,0.5000,0.4604,0.5000,0.0589
17.760,0.5000,0.4604,0.5000,0.0587
17.792,0.5000,0.4604,0.5000,0.0585
17.824,0.5000,0.4605,0.5000,0.0583
17.856,0.5000,0.4605,0.5000,0.0580
17.888,0.5000,0.4605,0.5000,0.0578
17.920,0.5000,0.4605,0.5000,0.0576
17.952,0.5000,0.4606,0.5000,0.0574
17.984,0.5000,0.4606,0.5000,0.0571
18.016,0.5000,0.4607,0.5000,0.0569
18.048,0.5000,0.4607,0.5000,0.0566
18.080,0.5000,0.4607,0.5000,0.0564
18.112,0.5000,0.4608,0.5000,0.0561
